ID	Name		Địa chỉ
1	Đại học Bách Khoa Hà Nội		Số 1 Đại Cồ Việt, Q. Hai Bà Trưng, Hà Nội
2	Đại học Thủy Lợi		Số 175 Tây Sơn, Q. Đống Đa, Hà Nội
3	Đại học Quốc gia Hà Nội		Số 144 Xuân Thủy, Q. Cầu Giấy, Hà Nội
4	Học viện Bưu chính Viễn thông		Km10, Đường Nguyễn Trãi, Q. Hà Đông, Hà Nội
5	Đại học Công nghệ - ĐHQGHN		Số 144 Xuân Thủy, Q. Cầu Giấy, Hà Nội
6	Đại học Kinh tế Quốc dân		Số 207 Giải Phóng, Q. Hai Bà Trưng, Hà Nội
7	Đại học Xây dựng Hà Nội		Số 55 Giải Phóng, Q. Hai Bà Trưng, Hà Nội
8	Đại học Giao thông Vận tải		Số 3 Cầu Giấy, P. Láng Thượng, Q. Đống Đa, Hà Nội
9	Đại học Sư phạm Hà Nội		Số 136 Xuân Thủy, Q. Cầu Giấy, Hà Nội
10	Học viện Kỹ thuật Quân sự		Số 236 Hoàng Quốc Việt, Q. Bắc Từ Liêm, Hà Nội
11	Học viện Ngân hàng		Số 12 Chùa Bộc, Q. Đống Đa, Hà Nội
12	Đại học Thương mại		Số 79 Hồ Tùng Mậu, Q. Cầu Giấy, Hà Nội
13	Đại học Hà Nội		Km9 Nguyễn Trãi, Q. Nam Từ Liêm, Hà Nội
14	Đại học Mỏ - Địa chất		Số 18 Phố Viên, Q. Bắc Từ Liêm, Hà Nội
15	Đại học FPT		Khu Công nghệ cao Hòa Lạc, H. Thạch Thất, Hà Nội
16	Học viện Tài chính		Số 58 Lê Văn Hiến, Q. Bắc Từ Liêm, Hà Nội
17	Đại học Phenikaa		Đường Nguyễn Trực, P. Yên Nghĩa, Q. Hà Đông, Hà Nội
18	Đại học Kiến trúc Hà Nội		Km10 Nguyễn Trãi, Q. Hà Đông, Hà Nội
19	Đại học Điện lực		Số 235 Hoàng Quốc Việt, Q. Bắc Từ Liêm, Hà Nội
20	Đại học Lao động Xã hội		Số 43 Trần Duy Hưng, Q. Cầu Giấy, Hà Nội
